Service Name,Description,Primary Language,Estimated LOC,Internal Dependencies,External Dependencies,AWS SDK Challenges,EC2 Environment Assumptions,Statefulness Issues,Migration Complexity
"auth-api-001","Handles auth api operations.","Go","17088","order-worker-031; payment-engine-042; user-manager-064","Consul; Redis","AWS SDK - Secrets Manager (secret retrieval)","Long-running background processes managed by systemd/supervisord","None","Medium"
"user-processor-002","Handles user processor operations.","Node.js","26487","inventory-api-070; payment-engine-042","MongoDB; Redis","AWS SDK - S3 (file storage); AWS SDK - SQS (message queue)","Reliance on Instance Metadata Service (IMS)","None","Medium"
"product-worker-003","Handles product worker operations.","Java","2185","None","Elasticsearch; Kafka; Redis","AWS SDK - CloudWatch (custom metrics/logs); AWS SDK - SQS (message queue)","Specific local file system paths for temp storage (/tmp, /var/log)","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","Medium"
"user-manager-004","Handles user manager operations.","Java","24059","config-service-018; payment-engine-042; product-engine-081","PostgreSQL","AWS SDK - Secrets Manager (secret retrieval); AWS SDK - SQS (message queue)","Long-running background processes managed by systemd/supervisord","None","Medium"
"order-worker-005","Handles order worker operations.","Node.js","15494","analytics-engine-071; config-handler-075; payment-engine-042","Kafka; PostgreSQL","AWS SDK - DynamoDB (NoSQL database)","Specific environment variables from EC2 user data/AMIs","None","Medium"
"search-manager-006","Handles search manager operations.","Python","12586","auth-handler-061; order-processor-056; payment-handler-026","Elasticsearch","AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","Assumptions about network configuration (e.g., internal IPs, security group rules)","None","Medium"
"product-processor-007","Handles product processor operations.","Go","20165","auth-api-001; order-api-017; user-service-048","Redis","AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","None","None","Low"
"inventory-service-008","Handles inventory service operations.","Java","18788","notification-manager-034","PostgreSQL; RabbitMQ; Redis","AWS SDK - Kinesis (data streams)","None","None","Low"
"payment-handler-009","Handles payment handler operations.","Node.js","11894","inventory-api-070; user-processor-002","Kubernetes; PostgreSQL; RabbitMQ","AWS SDK - Kinesis (data streams); AWS SDK - S3 (file storage)","Specific local file system paths for temp storage (/tmp, /var/log)","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","Medium"
"config-handler-010","Handles config handler operations.","Node.js","17409","notification-processor-065","Vault","None","None","None","Low"
"inventory-manager-011","Handles inventory manager operations.","Ruby","2972","analytics-processor-054; order-engine-049","Elasticsearch; Kafka","AWS SDK - DynamoDB (NoSQL database); AWS SDK - SQS (message queue)","None","HTTP session management within the service process (sticky sessions)","Medium"
"auth-api-012","Handles auth api operations.","Ruby","26488","None","RabbitMQ","AWS SDK - SSM Parameter Store (config retrieval)","Specific environment variables from EC2 user data/AMIs","None","Medium"
"payment-processor-013","Handles payment processor operations.","Java","25178","analytics-manager-033; order-engine-049","Kafka; PostgreSQL","AWS SDK - CloudWatch (custom metrics/logs); AWS SDK - SQS (message queue)","None","None","Medium"
"notification-api-014","Handles notification api operations.","Node.js","16521","notification-service-059; product-manager-060; user-api-044","Kubernetes; PostgreSQL; Redis","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","Reliance on Instance Metadata Service (IMS)","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","High"
"user-engine-015","Handles user engine operations.","C#","25590","payment-processor-013; user-manager-004","Elasticsearch; RabbitMQ","AWS SDK - DynamoDB (NoSQL database); AWS SDK - SQS (message queue); AWS SDK - SSM Parameter Store (config retrieval)","Specific local file system paths for temp storage (/tmp, /var/log)","None","High"
"inventory-api-016","Handles inventory api operations.","Node.js","28807","order-processor-056","Kafka; Redis","AWS SDK - CloudWatch (custom metrics/logs); AWS SDK - Secrets Manager (secret retrieval); AWS SDK - S3 (file storage)","Long-running background processes managed by systemd/supervisord","None","High"
"order-api-017","Handles order api operations.","Node.js","19028","inventory-manager-011; payment-engine-042; search-service-068","MongoDB; PostgreSQL","AWS SDK - Secrets Manager (secret retrieval)","None","None","Low"
"config-service-018","Handles config service operations.","Ruby","10557","analytics-handler-076","Redis","AWS SDK - Secrets Manager (secret retrieval)","Specific local file system paths for temp storage (/tmp, /var/log)","None","Medium"
"payment-service-019","Handles payment service operations.","Java","1956","auth-api-001; notification-processor-065","Kubernetes; PostgreSQL","AWS SDK - SQS (message queue)","Specific local file system paths for temp storage (/tmp, /var/log)","None","Medium"
"user-service-020","Handles user service operations.","C#","15873","analytics-api-072; inventory-api-016","MongoDB; PostgreSQL; Redis","AWS SDK - S3 (file storage); AWS SDK - SQS (message queue); AWS SDK - Secrets Manager (secret retrieval)","Long-running background processes managed by systemd/supervisord","None","High"
"search-api-021","Handles search api operations.","Java","10617","order-manager-038; payment-engine-042","Redis","AWS SDK - RDS Proxy (database connection pooling); AWS SDK - SQS (message queue); AWS SDK - Secrets Manager (secret retrieval)","Reliance on Instance Metadata Service (IMS)","None","High"
"analytics-engine-022","Handles analytics engine operations.","Ruby","18858","user-api-044; user-manager-064","Kafka; MongoDB","AWS SDK - S3 (file storage)","Long-running background processes managed by systemd/supervisord","None","Medium"
"order-engine-023","Handles order engine operations.","Node.js","12711","product-api-077; product-processor-007; search-api-021","Kafka","AWS SDK - SQS (message queue)","None","None","Low"
"config-service-024","Handles config service operations.","Node.js","14030","analytics-handler-076; user-manager-004","Redis","AWS SDK - CloudWatch (custom metrics/logs); AWS SDK - SQS (message queue)","None","None","Medium"
"user-manager-025","Handles user manager operations.","Go","11827","notification-manager-034; product-api-077","PostgreSQL","AWS SDK - SQS (message queue)","Specific environment variables from EC2 user data/AMIs","None","Medium"
"payment-handler-026","Handles payment handler operations.","Node.js","22131","config-service-024; product-manager-039","Kafka; MongoDB; PostgreSQL","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage)","Reliance on Instance Metadata Service (IMS)","None","High"
"analytics-worker-027","Handles analytics worker operations.","Node.js","29035","config-handler-075; product-api-077","Elasticsearch; Kafka; MongoDB","AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval)","Assumptions about network configuration (e.g., internal IPs, security group rules)","None","Medium"
"user-handler-028","Handles user handler operations.","C#","23467","auth-api-001; inventory-manager-011; payment-engine-042","PostgreSQL; Redis","AWS SDK - SQS (message queue); AWS SDK - Secrets Manager (secret retrieval)","Specific local file system paths for temp storage (/tmp, /var/log)","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","High"
"config-handler-029","Handles config handler operations.","Java","28292","notification-manager-034; payment-processor-013","Consul; Kafka; PostgreSQL","AWS SDK - SQS (message queue); AWS SDK - Secrets Manager (secret retrieval)","Reliance on Instance Metadata Service (IMS)","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","High"
"order-processor-030","Handles order processor operations.","Go","18663","payment-engine-042; search-api-021; user-service-020","MongoDB; PostgreSQL; Redis","AWS SDK - SQS (message queue)","Reliance on Instance Metadata Service (IMS)","None","Medium"
"order-worker-031","Handles order worker operations.","Ruby","27038","analytics-manager-033; product-processor-007","MongoDB; PostgreSQL","AWS SDK - S3 (file storage); AWS SDK - SSM Parameter Store (config retrieval)","Assumptions about network configuration (e.g., internal IPs, security group rules)","None","Medium"
"analytics-service-032","Handles analytics service operations.","Node.js","10360","auth-api-001; order-processor-056; user-manager-004","Elasticsearch; Redis","AWS SDK - S3 (file storage); AWS SDK - Secrets Manager (secret retrieval); AWS SDK - SQS (message queue)","Reliance on Instance Metadata Service (IMS)","None","High"
"analytics-manager-033","Handles analytics manager operations.","Java","16174","auth-api-001; inventory-manager-011; product-api-077","Elasticsearch; Kafka","AWS SDK - DynamoDB (NoSQL database); AWS SDK - S3 (file storage)","None","None","Medium"
"notification-manager-034","Handles notification manager operations.","Go","20973","analytics-processor-054; auth-api-001; config-handler-075","Consul; PostgreSQL","AWS SDK - CloudWatch (custom metrics/logs); AWS SDK - S3 (file storage)","Long-running background processes managed by systemd/supervisord","None","Medium"
"product-processor-035","Handles product processor operations.","Node.js","17608","analytics-engine-022; analytics-manager-033; notification-api-014","Kafka; MongoDB; Redis","AWS SDK - DynamoDB (NoSQL database); AWS SDK - SQS (message queue); AWS SDK - Secrets Manager (secret retrieval)","Specific local file system paths for temp storage (/tmp, /var/log)","HTTP session management within the service process (sticky sessions)","High"
"user-service-036","Handles user service operations.","Go","22949","inventory-service-008","PostgreSQL; Redis","AWS SDK - DynamoDB (NoSQL database)","None","None","Low"
"payment-processor-037","Handles payment processor operations.","C#","23173","analytics-processor-054; config-handler-010; order-api-017","MongoDB; Redis","AWS SDK - S3 (file storage)","Assumptions about network configuration (e.g., internal IPs, security group rules)","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","High"
"order-manager-038","Handles order manager operations.","Java","18789","payment-processor-013; user-manager-004","PostgreSQL; Redis","AWS SDK - S3 (file storage)","Specific environment variables from EC2 user data/AMIs","None","Medium"
"product-manager-039","Handles product manager operations.","Node.js","16972","user-service-020","MongoDB; RabbitMQ; Redis","AWS SDK - CloudWatch (custom metrics/logs); AWS SDK - Secrets Manager (secret retrieval)","None","In-memory data caches (not externalized, e.g., Ehcache, Guava, LRU cache)","Medium"
"payment-manager-040","Handles payment manager operations.","Go","11593","analytics-api-072; user-service-020","Kafka; MongoDB","AWS SDK - SQS (message queue); AWS SDK - Secrets Manager (secret retrieval)","None","None","Medium"
